label,img_paths
Impressionism,extracted/Impressionism/emmanuel-zairis_the-carnival-in-athens-1930.jpg
Romanticism,extracted/Romanticism/thomas-cole_the-course-of-empire-desolation-1836.jpg
Post_Impressionism,extracted/Post_Impressionism/j.-e.-h.-macdonald_barbados-b-w-i-winter-1932.jpg
Early_Renaissance,extracted/Early_Renaissance/paolo-uccello_scene-temple-mary-1440.jpg
Expressionism,extracted/Expressionism/tsuguharu-foujita_les-deux-amies-brune-et-blonde-detail.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/raphael-kirchner_parfums-1900-1.jpg
Post_Impressionism,extracted/Post_Impressionism/ion-theodorescu-sion_landscape-1912.jpg
Pop_Art,extracted/Pop_Art/tano-festa_dei-coniugi-arnolfini-1976.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/sam-francis_2-pri-rain-1964.jpg
Baroque,extracted/Baroque/rembrandt_the-goldweigher-s-field-1651.jpg
Realism,extracted/Realism/boris-kustodiev_portrait-of-k-b-kustodiev-1921.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/elaine-de-kooning_torchlight-cave-drawing-i-1985.jpg
Baroque,extracted/Baroque/peter-paul-rubens_the-judgment-of-paris.jpg
Cubism,extracted/Cubism/paul-cezanne_the-park-of-the-chateau-noir-with-well.jpg
Expressionism,extracted/Expressionism/paula-modersohn-becker_infant-with-her-mother-s-hand.jpg
Symbolism,extracted/Symbolism/gustav-klimt_lady-by-the-fireplace-1898.jpg
Impressionism,extracted/Impressionism/camille-pissarro_a-part-of-groettes-pontoise-gray-weather-1875.jpg
Realism,extracted/Realism/henri-fantin-latour_roses-1885-2.jpg
Minimalism,extracted/Minimalism/frederick-hammersley_again-is-a-gain-6-1971.jpg
Expressionism,extracted/Expressionism/margareta-sterian_in-circus.jpg
Romanticism,extracted/Romanticism/konstantin-makovsky_portrait-22.jpg
Romanticism,extracted/Romanticism/eugene-delacroix_self-portrait-as-hamlet-1821.jpg
Impressionism,extracted/Impressionism/armand-guillaumin_winter-in-saint-sauves-auvergne-1900.jpg
Baroque,extracted/Baroque/peter-paul-rubens_autumn-landscape-with-a-view-of-het-steen.jpg
Realism,extracted/Realism/johan-hendrik-weissenbruch_summer-landscape.jpg
Impressionism,extracted/Impressionism/samuel-mutzner_a-crescut-floarea-soarelui-1944.jpg
Pop_Art,extracted/Pop_Art/erro_the-final-selection-1961.jpg
Rococo,extracted/Rococo/joshua-reynolds_portrait-of-george-colman-the-elder.jpg
Realism,extracted/Realism/charles-hermans_the-onion-sellers.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/aaron-siskind_pleasures-and-terrors-of-levitation-25-1957.jpg
Pop_Art,extracted/Pop_Art/richard-artschwager_table-and-two-chairs-1965.jpg
Realism,extracted/Realism/aleksey-savrasov_spring-2.jpg
Realism,extracted/Realism/nicolae-vermont_slavic-souls-1900.jpg
Romanticism,extracted/Romanticism/vasily-tropinin_girl-with-a-candle.jpg
Expressionism,extracted/Expressionism/max-pechstein_waldweg-1919.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/carl-larsson_getting-ready-for-a-game-1901(1).jpg
Baroque,extracted/Baroque/rembrandt_ledikant-1646.jpg
Post_Impressionism,extracted/Post_Impressionism/paul-gauguin_in-brittany-1889.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/paul-jenkins_phenomena-tarot-over.jpg
Realism,extracted/Realism/vladimir-makovsky_boys-in-the-field.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/henri-de-toulouse-lautrec_the-chatelaine-the-tocsin-1895.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_woman-s-head-1887.jpg
Color_Field_Painting,extracted/Color_Field_Painting/basil-beattie_reds-1973.jpg
Baroque,extracted/Baroque/francesco-guardi_the-gondola-on-the-lagoon-1770.jpg
Romanticism,extracted/Romanticism/gustave-dore_the-army-appears-in-the-heavens.jpg
Impressionism,extracted/Impressionism/octav-angheluta_nud-ghemuit.jpg
Post_Impressionism,extracted/Post_Impressionism/henri-de-toulouse-lautrec_woman-combing-her-hair-1896.jpg
Impressionism,extracted/Impressionism/camille-pissarro_place-du-havre-paris-1897.jpg
Baroque,extracted/Baroque/anthony-van-dyck_portrait-of-joost-de-hertoghe.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_male-and-female-nudes-1515.jpg
Realism,extracted/Realism/homer-watson_before-the-storm.jpg
Naive_Art_Primitivism,extracted/Naive_Art_Primitivism/niko-pirosmani_teddy-bear.jpg
High_Renaissance,extracted/High_Renaissance/titian_portrait-of-a-bearded-man.jpg
Pop_Art,extracted/Pop_Art/mario-schifano_albero-per-terra-1984.jpg
Post_Impressionism,extracted/Post_Impressionism/vincent-van-gogh_oleanders-the-hospital-garden-at-saint-remy-1889.jpg
Realism,extracted/Realism/valentin-serov_portrait-of-pavel-blaramberg-1888.jpg
Action_painting,extracted/Action_painting/franz-kline_c-and-o-1958.jpg
Baroque,extracted/Baroque/jacob-jordaens_allegory-of-the-peace-of-westphalia-1654.jpg
Rococo,extracted/Rococo/jean-baptiste-simeon-chardin_a-chemist-in-his-laboratory-a-philosopher-giving-a-lecture-1734.jpg
Realism,extracted/Realism/antâÐ³â¬ânio-de-carvalho-da-silva-porto_head-of-a-girl.jpg
Early_Renaissance,extracted/Early_Renaissance/benozzo-gozzoli_st-francis-giving-away-his-clothes-vision-of-the-church-militant-and-triumphant-detail.jpg
Realism,extracted/Realism/giovanni-boldini_the-summer-stroll.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_picking-flowers-1875.jpg
Realism,extracted/Realism/ilya-repin_portrait-of-a-bocharova-artist-s-aunts-1859.jpg
Impressionism,extracted/Impressionism/max-slevogt_don-juan-s-encounter-with-the-stony-gues.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_snowy-lift-1924.jpg
Post_Impressionism,extracted/Post_Impressionism/anita-malfatti_veneza-canaleto-1924.jpg
Romanticism,extracted/Romanticism/gustave-dore_entry-of-the-crusaders-in-constantinople-in-1204-1877.jpg
Realism,extracted/Realism/georgios-jakobides_farmhouse-in-bavaria-1884.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/mark-tobey_untitled-2.jpg
Baroque,extracted/Baroque/le-nain-brothers_peasants-in-the-cave-house.jpg
Baroque,extracted/Baroque/rembrandt_the-boathouse-called-a-grotto-with-a-brook-1645.jpg
Impressionism,extracted/Impressionism/john-singer-sargent_rio-de-santa-maria-formosa-1905.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/jackson-pollock_untitled-1941(2).jpg
New_Realism,extracted/New_Realism/edward-hopper_el-palacio.jpg
Rococo,extracted/Rococo/maurice-quentin-de-la-tour_jean-nicolas-vernezobre.jpg
Realism,extracted/Realism/boris-kustodiev_self-portrait-1902.jpg
Expressionism,extracted/Expressionism/ernst-ludwig-kirchner_cattles-under-a-rainbow.jpg
High_Renaissance,extracted/High_Renaissance/lorenzo-lotto_st-nicholas-in-glory-with-st-john-the-baptist-st-lucy-and-below-st-george-slaying-the-dragon-1529.jpg
Post_Impressionism,extracted/Post_Impressionism/henri-matisse_peaches-1920.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/raphael-kirchner_lillian-lorraine.jpg
Naive_Art_Primitivism,extracted/Naive_Art_Primitivism/marc-chagall_moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv.jpg
Post_Impressionism,extracted/Post_Impressionism/henri-de-toulouse-lautrec_woman-at-her-toilette-1889.jpg
Baroque,extracted/Baroque/cornelis-norbertus-gysbrechts_silverware-in-an-open-cabinet.jpg
Ukiyo_e,extracted/Ukiyo_e/kitagawa-utamaro_the-hour-of-the-ramin.jpg
Romanticism,extracted/Romanticism/jean-leon-gerome_lion.jpg
Realism,extracted/Realism/martiros-saryan_portrait-of-sanduht-1898.jpg
Rococo,extracted/Rococo/jean-honore-fragonard_the-music-lesson.jpg
Symbolism,extracted/Symbolism/kuzma-petrov-vodkin_noon-1917.jpg
Romanticism,extracted/Romanticism/francesco-hayez_laocoon-1812.jpg
Post_Impressionism,extracted/Post_Impressionism/edouard-vuillard_square-berlioz-la-place-vintimille.jpg
Impressionism,extracted/Impressionism/paul-cezanne_a-modern-olympia-1874.jpg
Post_Impressionism,extracted/Post_Impressionism/amrita-sher-gil_brahmacharis-1937.jpg
Symbolism,extracted/Symbolism/james-tissot_god-s-promises-to-abram.jpg
Symbolism,extracted/Symbolism/konstantin-bogaevsky_ships-1912.jpg
Realism,extracted/Realism/john-singer-sargent_portrait-of-dorothy-barnard-1889.jpg
Realism,extracted/Realism/basuki-abdullah_horses.jpg
Naive_Art_Primitivism,extracted/Naive_Art_Primitivism/fernando-botero_pope-leo-x-after-raphael.jpg
Early_Renaissance,extracted/Early_Renaissance/sandro-botticelli_venus-and-mars(1).jpg
Northern_Renaissance,extracted/Northern_Renaissance/jean-fouquet_job-and-his-false-comforters.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_seated-nude-at-east-1885.jpg
Color_Field_Painting,extracted/Color_Field_Painting/howard-hodgkin_bedroom-1968.jpg
Contemporary_Realism,extracted/Contemporary_Realism/eric-fischl_beautiful-day.jpg
Realism,extracted/Realism/anders-zorn_summer-entertainment-1886.jpg
Impressionism,extracted/Impressionism/giovanni-boldini_reclining-nude-1930.jpg
Post_Impressionism,extracted/Post_Impressionism/andre-derain_the-river-1912.jpg
Realism,extracted/Realism/camille-corot_ville-d-avray-cowherd-in-a-clearing-near-a-pond-1872.jpg
Expressionism,extracted/Expressionism/max-kurzweil_seated-nude-facing-right-and-meditating.jpg
Rococo,extracted/Rococo/thomas-gainsborough_portrait-of-thomas-linley.jpg
Realism,extracted/Realism/camille-corot_semur-the-path-from-the-church.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/neil-welliver_royal-head-1959.jpg
Romanticism,extracted/Romanticism/gustave-dore_help-the-marquis-of-carabas-is-drowning.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/forrest-bess_untitled-1948.jpg
Ukiyo_e,extracted/Ukiyo_e/tsukioka-yoshitoshi_a-married-woman-in-the-meiji-period.jpg
Realism,extracted/Realism/vasily-vereshchagin_dutar-player-1870.jpg
Expressionism,extracted/Expressionism/max-beckmann_galleria-umberto-1925.jpg
Romanticism,extracted/Romanticism/sir-lawrence-alma-tadema_the-roses-of-heliogabalus-1888.jpg
Expressionism,extracted/Expressionism/candido-portinari_crian-a-morta-1944.jpg
Early_Renaissance,extracted/Early_Renaissance/masaccio_st-girolamo-end-giovanni-battista-1428.jpg
Symbolism,extracted/Symbolism/james-mcneill-whistler_the-white-symphony-three-girls.jpg
Impressionism,extracted/Impressionism/cornelis-vreedenburgh_cows-in-a-meadow.jpg
Cubism,extracted/Cubism/olexandr-archipenko_composition-1920.jpg
Post_Impressionism,extracted/Post_Impressionism/vincent-van-gogh_orchard-in-blossom-1888-2.jpg
Realism,extracted/Realism/vincent-van-gogh_entrance-to-the-pawn-bank-the-hague-1882(1).jpg
Romanticism,extracted/Romanticism/alphonse-mucha_portrait-of-marushka-artist-s-wife-1905.jpg
Minimalism,extracted/Minimalism/yves-klein_untitled-pink-monochrome-1957-1.jpg
Impressionism,extracted/Impressionism/stefan-luchian_m-rioara.jpg
Realism,extracted/Realism/aleksey-savrasov_mountain-lake-switzerland-1864.jpg
Realism,extracted/Realism/vladimir-makovsky_arrival-of-a-school-mistress-in-the-countryside-1897.jpg
Romanticism,extracted/Romanticism/francesco-hayez_cunnilingus-or-oral-sex-performed-on-a-woman.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/basil-beattie_cause-and-effect-iv-1973.jpg
Realism,extracted/Realism/constant-troyon_the-ford.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/nicholas-roerich_snow-maiden-1912.jpg
Symbolism,extracted/Symbolism/pierre-puvis-de-chavannes_the-bathers.jpg
Mannerism_Late_Renaissance,extracted/Mannerism_Late_Renaissance/andrea-del-sarto_assumption-of-the-virgin-1529.jpg
Impressionism,extracted/Impressionism/paul-gauguin_pere-jean-s-path-1885.jpg
Contemporary_Realism,extracted/Contemporary_Realism/neil-welliver_olivia-seated-1968.jpg
Symbolism,extracted/Symbolism/konstantin-somov_the-model.jpg
Impressionism,extracted/Impressionism/william-merritt-chase_in-the-studio-2.jpg
Symbolism,extracted/Symbolism/james-tissot_the-adoration-of-the-shepherds-illustration-for-the-life-of-christ.jpg
Realism,extracted/Realism/boris-kustodiev_portrait-of-lazar-ivanovich-bublichenko-1923.jpg
Romanticism,extracted/Romanticism/john-atkinson-grimshaw_the-lighthouse-at-scarborough.jpg
Realism,extracted/Realism/william-merritt-chase_hattie.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_study-to-teacher-s-testament.jpg
Rococo,extracted/Rococo/canaletto_piazza-san-marco-looking-east-from-the-south-west-corner.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_portrait-of-ulrich-varnbiiler-1522.jpg
Realism,extracted/Realism/konstantin-makovsky_landscape-sea-and-flowers.jpg
Realism,extracted/Realism/albert-bierstadt_butterfly-second-version-1900.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_the-desperate-man-1515.jpg
Realism,extracted/Realism/odilon-redon_vase-of-poppies.jpg
Expressionism,extracted/Expressionism/margareta-sterian_the-fishermans-legend.jpg
Post_Impressionism,extracted/Post_Impressionism/pyotr-konchalovsky_hercules-and-omphale-1928.jpg
Post_Impressionism,extracted/Post_Impressionism/vincent-van-gogh_blossoming-almond-branch-in-a-glass-1888(1).jpg
Northern_Renaissance,extracted/Northern_Renaissance/bernhard-strigel_portrait-of-the-emperor-maximilian-i.jpg
Baroque,extracted/Baroque/gabriel-metsu_portrait-of-the-artist-with-his-wife-isabella-de-wolff-in-a-tavern-1661.jpg
Expressionism,extracted/Expressionism/amedeo-modigliani_joseph-levi-1910.jpg
Ukiyo_e,extracted/Ukiyo_e/utagawa-kuniyoshi_honjo-shigenaga-parrying-an-exploding-shell.jpg
Early_Renaissance,extracted/Early_Renaissance/fra-angelico_crucifixion-and-saints-1442.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/sam-francis_freshet-1971.jpg
Impressionism,extracted/Impressionism/edgar-degas_the-false-start.jpg
Post_Impressionism,extracted/Post_Impressionism/paul-cezanne_madame-cezanne-with-unbound-hair.jpg
Impressionism,extracted/Impressionism/john-henry-twachtman_country-path.jpg
Post_Impressionism,extracted/Post_Impressionism/paul-gauguin_paris-in-the-snow-1894.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_temple-1931.jpg
Realism,extracted/Realism/vasily-vereshchagin_on-the-way-bad-news-from-france-1895.jpg
Impressionism,extracted/Impressionism/paul-gauguin_china-asters-hat-and-book.jpg
Early_Renaissance,extracted/Early_Renaissance/fra-angelico_institution-of-the-eucharist-1446.jpg
High_Renaissance,extracted/High_Renaissance/vittore-carpaccio_two-venetian-ladies.jpg
Romanticism,extracted/Romanticism/john-everett-millais_ophelia.jpg
Impressionism,extracted/Impressionism/nicolae-vermont_roses-1915.jpg
Impressionism,extracted/Impressionism/edgar-degas_landscape-1.jpg
Realism,extracted/Realism/vincent-van-gogh_congregation-leaving-the-reformed-church-in-nuenen-1884(1).jpg
Impressionism,extracted/Impressionism/john-singer-sargent_a-garden-in-corfu-1909.jpg
Impressionism,extracted/Impressionism/claude-monet_landscape-with-thunderstorm-1.jpg
Expressionism,extracted/Expressionism/spyros-papaloukas_landscape-5.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_paul-charpentier-1887.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/friedel-dzubas_untitled(2).jpg
High_Renaissance,extracted/High_Renaissance/pinturicchio_portrait-of-a-boy-1500.jpg
Expressionism,extracted/Expressionism/alekos-kontopoulos_companionship.jpg
Post_Impressionism,extracted/Post_Impressionism/wassily-kandinsky_not_detected_189369.jpg
Northern_Renaissance,extracted/Northern_Renaissance/hans-holbein-the-younger_st-ursula.jpg
Post_Impressionism,extracted/Post_Impressionism/theo-van-rysselberghe_the-garden-of-felicien-rops-at-essone-1910.jpg
Expressionism,extracted/Expressionism/pyotr-konchalovsky_the-head-of-boy-in-profile-1936.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_the-sorrows-1497.jpg
Realism,extracted/Realism/vasily-surikov_morning-of-the-strelets-execution-1881.jpg
Post_Impressionism,extracted/Post_Impressionism/maurice-utrillo_sacre-coeur.jpg
Post_Impressionism,extracted/Post_Impressionism/jack-bush_summer-1941.jpg
Impressionism,extracted/Impressionism/james-mcneill-whistler_the-guidecca-winter-grey-and-blue.jpg
Romanticism,extracted/Romanticism/andrei-ryabushkin_mikula-selyaninovich-illustration-for-the-book-russian-epic-heroes.jpg
Symbolism,extracted/Symbolism/alphonse-mucha_holy-mount-athos-1926.jpg
Romanticism,extracted/Romanticism/karl-bryullov_ascension-baron-shieling(1).jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/lee-krasner_obsidian-1962.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_landscape-13.jpg
Baroque,extracted/Baroque/rembrandt_saskia-as-flora-1634-oil-on-canvas-1634.jpg
Realism,extracted/Realism/pavel-fedotov_s-d-shishmarev-on-board-the-ship.jpg
Symbolism,extracted/Symbolism/james-tissot_isaac-feels-jacob-as-rebekah.jpg
Impressionism,extracted/Impressionism/eugene-boudin_trouville-on-the-beach-sheltered-by-a-parasol-1895.jpg
Pop_Art,extracted/Pop_Art/gerard-fromanger_from-the-album-le-rouge-mai-1968-1968-1.jpg
Post_Impressionism,extracted/Post_Impressionism/edouard-cortes_rue-royale-madeleine-2.jpg
Color_Field_Painting,extracted/Color_Field_Painting/ron-gorchov_thersites-chastened-2012.jpg
Impressionism,extracted/Impressionism/henri-martin_view-of-salute-in-venice.jpg
Expressionism,extracted/Expressionism/lynd-ward_not-detected-272507.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_noble-woman-at-horses-and-lansquenet.jpg
Realism,extracted/Realism/ilya-repin_jew-praying-1875.jpg
Impressionism,extracted/Impressionism/claude-monet_festival-at-argenteuil.jpg
Realism,extracted/Realism/anders-zorn_the-toast-1893.jpg
Impressionism,extracted/Impressionism/edouard-manet_portrait-of-monsieur-brun-1879.jpg
Impressionism,extracted/Impressionism/william-merritt-chase_dutch-canal-aka-canal-path-holland.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/kay-nielsen_east-of-the-sun-and-west-of-the-moon-1914-3.jpg
Ukiyo_e,extracted/Ukiyo_e/utagawa-sadatora_overview-of-the-kabuki-play-yoshitsune-senbon-zakura-yoshitsune-and-the-thousand-cherry-trees.jpg
Post_Impressionism,extracted/Post_Impressionism/constantine-maleas_house-at-santorini.jpg
Impressionism,extracted/Impressionism/eugene-boudin_trouville-the-jettys-low-tide-1883.jpg
Romanticism,extracted/Romanticism/francisco-goya_and-his-house-is-on-fire-1799.jpg
Color_Field_Painting,extracted/Color_Field_Painting/ronnie-landfield_the-arc-1986.jpg
Pop_Art,extracted/Pop_Art/andy-warhol_the-last-supper-1986-1.jpg
Realism,extracted/Realism/ilya-repin_portrait-of-an-old-woman-1870.jpg
Pop_Art,extracted/Pop_Art/andy-warhol_truck-announcement-3.jpg
Northern_Renaissance,extracted/Northern_Renaissance/albrecht-durer_way-to-calvary-1527.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_the-seine-at-chatou-1881.jpg
Impressionism,extracted/Impressionism/camille-pissarro_cowherd-pontoise-1880.jpg
Expressionism,extracted/Expressionism/henri-matisse_interior-with-a-violin.jpg
Impressionism,extracted/Impressionism/anders-zorn_in-wikstrom-studio-1889.jpg
Impressionism,extracted/Impressionism/konstantin-korovin_village-1902.jpg
Realism,extracted/Realism/valentin-serov_eugene-ysaye-1903.jpg
Baroque,extracted/Baroque/bartolome-esteban-murillo_a-young-man-with-a-basket-of-fruit-1640.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_mother-and-child.jpg
Realism,extracted/Realism/vasily-perov_the-conversation-at-the-round-table-1866.jpg
Post_Impressionism,extracted/Post_Impressionism/lovis-corinth_walchensee-1920.jpg
Baroque,extracted/Baroque/pietro-da-cortona_marcello-sacchetti.jpg
Expressionism,extracted/Expressionism/henri-matisse_notre-dame-1914.jpg
Realism,extracted/Realism/isaac-levitan_before-the-storm-1890.jpg
Realism,extracted/Realism/vasily-polenov_church-of-st-helena-aisle-of-the-temple-of-the-holy-sepulcher-1882.jpg
Post_Impressionism,extracted/Post_Impressionism/vincent-van-gogh_portrait-of-eugene-boch-1888.jpg
Realism,extracted/Realism/henri-fantin-latour_bouquet-of-roses-and-other-flowers-1889.jpg
Rococo,extracted/Rococo/thomas-gainsborough_the-miniature-portrait-of-a-young-boy-supposed-self-portrait-1737.jpg
Impressionism,extracted/Impressionism/stefan-luchian_springtime-flowers.jpg
Cubism,extracted/Cubism/jacques-villon_4e-bucolique-pollion-from-les-bucoliques.jpg
Abstract_Expressionism,extracted/Abstract_Expressionism/jimmy-ernst_untitled-1957.jpg
Synthetic_Cubism,extracted/Synthetic_Cubism/pablo-picasso_bottle-of-vieux-marc-glass-and-newspaper-1913.jpg
High_Renaissance,extracted/High_Renaissance/michelangelo_sistine-chapel-ceiling-the-persian-sibyl-1511.jpg
Post_Impressionism,extracted/Post_Impressionism/paul-cezanne_sugarbowl-pears-and-tablecloth.jpg
Fauvism,extracted/Fauvism/pyotr-konchalovsky_portrait-of-daughter-1912.jpg
Realism,extracted/Realism/henri-fantin-latour_still-life-with-flowers-1881.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_kangchenjunga-1.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/jules-cheret_quinquina-dubonnet-1895.jpg
